bathrooms,parkingSpaces,suites,monthlyCondoFee,usableAreas,bedrooms,backyard,barbgrill,bathtub,fireplace,furnished,garden,guestpark,gym,hottub,partyhall,playground,pool,sauna,sportcourt,tenniscourt,imvl_type,address.region,salePrice
3,5,2,2700,213,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,1075000
2,2,1,450,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sul,430000
2,1,1,400,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,285000
1,1,1,530,45,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,apartamentos,Sudeste,450000
2,1,1,374,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,220000
3,2,1,670,128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,759000
2,1,1,74176,75,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,apartamentos,Sudeste,400000
4,2,3,611,128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,950000
5,2,3,950,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,800000
2,1,1,275,68,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,280000
2,1,1,420,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,307400
1,1,1,290,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,330000
2,2,1,500,76,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,apartamentos,Sudeste,480000
2,1,1,330,70,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,apartamentos,Sudeste,350000
4,2,3,1260,140,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,1500000
1,2,1,800,88,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,1100000
1,2,1,490,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,450000
3,2,1,1100,85,3,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,apartamentos,Sudeste,920000
2,2,1,480,68,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,420000
2,2,1,468,77,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,apartamentos,Sudeste,420000
1,2,1,559,69,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,apartamentos,Sudeste,620000
1,1,1,700,53,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,apartamentos,Sudeste,375000
1,1,1,830,75,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,apartamentos,Sudeste,379000
1,2,1,2418,140,3,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,apartamentos,Sudeste,1200000
2,1,1,250,98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,230000
3,1,1,871,106,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,apartamentos,Sudeste,990000
1,1,0,565,68,3,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,apartamentos,Sudeste,217000
2,2,1,580,93,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,400000
3,2,1,594,93,3,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,apartamentos,Sudeste,600000
2,0,1,595,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,260000
0,1,0,1382,105,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apartamentos,Sudeste,140000
2,0,1,1572,84,2,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,apartamentos,Sudeste,840000
2,2,1,350,90,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,apartamentos,Sudeste,595000
2,2,1,484,67,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,apartamentos,Sudeste,520000
1,1,0,320,42,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,apartamentos,Sudeste,145000
