imvl_type,listing.address.state,listing.backyard,listing.barbgrill,listing.bathrooms,listing.bathtub,listing.bedrooms,listing.fireplace,listing.furnished,listing.garden,listing.guestpark,listing.gym,listing.hottub,listing.parkingSpaces,listing.partyhall,listing.playground,listing.pool,listing.pricingInfo.monthlyCondoFee,listing.pricingInfo.salePrice,listing.pricingInfo.yearlyIptu,listing.sauna,listing.sportcourt,listing.suites,listing.tenniscourt,listing.usableAreas
apartamentos,rn,False,True,2,False,3,False,False,False,False,True,False,2,True,True,True,600,530.000,2.526,False,True,1,False,82
apartamentos,rn,False,True,3,False,3,False,False,False,True,True,False,2,False,True,True,550,330.000,1.900,False,False,1,False,72
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,True,False,True,445,238.000,,True,False,1,False,56
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,2,False,False,False,,350.000,,False,False,1,False,92
apartamentos,rn,False,True,1,False,2,False,False,True,False,False,False,1,False,False,False,,110.000,,False,False,1,False,57
apartamentos,rn,False,False,2,False,2,False,False,False,False,False,False,2,False,False,True,,270.000,,False,False,1,False,56
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,2,False,False,False,750,650.000,2.482,False,False,2,False,108
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,False,True,True,300,375.000,,False,True,1,False,76
apartamentos,rn,False,False,3,False,2,False,False,False,False,False,False,0,False,False,False,580,499.000,2.500,False,False,2,False,94
apartamentos,rn,False,True,2,False,3,False,False,True,False,True,False,2,True,True,True,550,710.000,2.980,True,True,1,False,90
apartamentos,rn,False,False,4,False,4,False,False,False,False,False,False,0,False,False,False,,200.000,,False,False,3,False,190
apartamentos,rn,False,True,2,False,2,False,False,True,False,False,False,1,True,True,True,1,104.999,1,False,False,1,False,57
apartamentos,rn,False,False,4,False,3,False,False,False,False,False,False,0,False,False,False,,180.000,,False,False,3,False,160
apartamentos,rn,False,True,2,False,2,False,False,True,False,False,False,1,True,True,True,371,260.000,1.000,True,True,1,True,65
apartamentos,rn,False,True,3,False,3,False,False,True,False,True,False,2,True,True,True,680,559.999,280,False,True,2,False,90
apartamentos,rn,True,True,1,False,2,False,False,False,False,False,False,1,False,False,True,,165.000,,False,True,0,False,54
apartamentos,rn,False,True,2,False,3,False,False,False,False,False,False,2,True,False,True,460,399.000,,False,True,1,False,72
apartamentos,rn,False,True,4,False,4,False,False,False,False,False,False,2,True,False,True,1.050,490.000,3.000,False,False,2,False,110
apartamentos,rn,False,False,2,False,3,False,False,False,False,False,False,1,False,False,False,350,164.500,,False,False,,False,110
apartamentos,rn,False,False,1,False,2,False,False,False,False,False,False,2,False,False,False,,280.000,,False,False,1,False,89
apartamentos,rn,False,True,2,False,3,False,True,True,False,True,False,2,True,True,True,700,700.000,1.990,False,True,1,False,95
apartamentos,rn,False,False,1,False,2,False,False,True,False,False,False,1,False,False,False,448,170.000,700,False,False,,False,60
apartamentos,rn,False,True,2,False,3,False,False,True,True,True,False,2,True,True,True,400,399.990,2.400,True,True,1,False,70
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,True,False,False,450,190.000,150,False,False,2,False,57
apartamentos,rn,False,False,2,False,2,False,False,True,False,False,False,1,False,True,True,470,120.000,500,False,False,1,False,60
apartamentos,rn,False,False,1,False,2,False,False,True,False,False,False,1,False,False,False,245,119.000,,False,False,,False,48
apartamentos,rn,False,True,2,False,2,False,False,False,False,False,False,1,False,False,True,500,290.000,1.400,False,False,1,False,56
apartamentos,rn,False,True,2,False,2,False,True,True,False,True,False,1,True,True,True,400,320.000,1.200,False,True,1,False,57
apartamentos,rn,False,True,6,False,5,False,False,True,False,True,False,3,True,True,True,1.450,898.000,8.000,False,True,4,False,280
